Product,Jan23,Dec22,Nov22,Oct22,Sep22,Aug22
Dasatinib 20mg tablets 60,"£1,252.48","£1,252.48","£1,252.48","£1,252.48","£1,252.48","£1,252.48"
Dasatinib 50mg tablets 60,"£2,504.96","£2,504.96","£2,504.96","£2,504.96","£2,504.96","£2,504.96"
Dasatinib 80mg tablets 30,"£2,504.96","£2,504.96","£2,504.96","£2,504.96","£2,504.96","£2,504.96"
Deferasirox 180mg tablets 30,£252.00,£252.00,£252.00,£252.00,£252.00,£252.00
Deferasirox 360mg tablets 30,£504.00,£504.00,£504.00,£504.00,£504.00,£504.00
Deferasirox 90mg tablets 30,£126.00,£126.00,£126.00,£126.00,£126.00,£126.00
Deferiprone 100mg/ml oral solution sugar free 500,£152.39,£152.39,£152.39,£152.39,£152.39,£152.39
Deferiprone 1g tablets 50,£130.00,£130.00,£130.00,£130.00,£130.00,£130.00
Deferiprone 500mg tablets 100,£130.00,£130.00,£130.00,£130.00,£130.00,£130.00
Deflazacort 6mg tablets 60,£15.82,£15.82,£15.82,£15.82,£15.82,£15.82
Degarelix 120mg powder and solvent for solution for injection vials 2,£260.00,£260.00,£260.00,£260.00,£260.00,£260.00
Degarelix 80mg powder and solvent for solution for injection vials 1,£129.37,£129.37,£129.37,£129.37,£129.37,£129.37
Demeclocycline 150mg capsules 28,£238.41,£238.41,£238.41,£238.41,£238.41,£238.41
Denosumab 120mg/1.7ml solution for injection vials 1,£309.86,£309.86,£309.86,£309.86,£309.86,£309.86
Denosumab 60mg/1ml solution for injection pre-filled syringes 1,£183.00,£183.00,£183.00,£183.00,£183.00,£183.00
Dequalinium chloride 10mg vaginal tablets 6,£6.95,£6.95,£6.95,£6.95,£6.95,£6.95
Desferrioxamine 500mg powder for solution for injection vials 10,£46.63,£46.63,£46.63,£46.63,£46.63,£46.63
Desloratadine 2.5mg/5ml oral solution sugar free 150,£19.24,£17.47,£16.94,£16.03,£15.53,£14.64
Desloratadine 5mg tablets 30,£5.33,£1.43,£1.38,£1.38,£1.33,£1.33
Desmopressin 100microgram tablets 90,£79.33,£79.35,£79.30,£79.40,£79.20,£79.60
Desmopressin 10micrograms/dose nasal spray 60,£29.95,£31.47,£30.12,£30.12,£28.84,£28.84
Desmopressin 120microgram oral lyophilisates sugar free 30,£30.34,£30.34,£30.34,£30.34,£30.34,£30.34
Desmopressin 120microgram oral lyophilisates sugar free 100,£101.07,£30.34,£30.34,£30.34,£30.34,£30.34
Desmopressin 150micrograms/dose nasal spray 25,£576.60,£576.60,£576.60,£576.60,£576.60,£576.60
Desmopressin 15micrograms/1ml solution for injection ampoules 10,£192.20,£192.20,£192.20,£192.20,£192.20,£192.20
Desmopressin 200microgram tablets 30,£24.52,£22.92,£21.94,£21.94,£21.45,£21.45
Desmopressin 240microgram oral lyophilisates sugar free 30,£60.68,£60.68,£60.68,£60.68,£60.68,£60.68
Desmopressin 25microgram oral lyophilisates sugar free 30,£15.16,£15.16,£15.16,£15.16,£15.16,£15.16
Desmopressin 4micrograms/1ml solution for injection ampoules 10,£13.16,£13.16,£13.16,£13.16,£13.16,£13.16
Desmopressin 50microgram oral lyophilisates sugar free 30,£15.16,£15.16,£15.16,£15.16,£15.16,£15.16
Desmopressin 60microgram oral lyophilisates sugar free 100,£50.53,£50.53,£50.53,£50.53,£50.53,£50.53
Desogestrel 75microgram tablets 84,£2.36,£2.16,£2.08,£2.08,£1.89,£1.89
Dexamethasone (base) 3.3mg/1ml solution for injection ampoules 10,£23.99,£23.99,£23.99,£23.99,£23.99,£23.99
Dexamethasone (base) 3.8mg/1ml solution for injection vials 10,£20.00,£20.00,£20.00,£20.00,£20.00,£20.00
Dexamethasone (base) 6.6mg/2ml solution for injection ampoules 10,£25.77,£25.78,£25.76,£25.79,£25.73,£25.85
Dexamethasone (base) 6.6mg/2ml solution for injection vials 5,£24.00,£24.00,£24.00,£24.00,£24.00,£24.00
Dexamethasone 0.1% / Tobramycin 0.3% eye drops 5,£5.37,£5.37,£5.37,£5.37,£5.37,£5.37
Dexamethasone 0.1% eye drops 5,£1.42,£1.42,£1.42,£1.42,£1.42,£1.42
Dexamethasone 0.1% eye drops 0.4ml unit dose preservative free 20,£10.48,£10.48,£10.48,£10.48,£10.48,£10.48
Dexamethasone 0.1% eye drops 0.5ml unit dose preservative free 20,£11.46,£11.46,£11.46,£11.46,£11.46,£11.46
Dexamethasone 0.1% eye drops preservative free 6,£9.75,£9.75,£9.75,£9.75,£9.75,£9.75
Dexamethasone 10mg/5ml oral solution sugar free 150,£124.66,£124.59,£124.73,£124.45,£125.01,£123.88
Dexamethasone 1mg/ml / Levofloxacin 5mg/ml eye drops 5,£8.30,,,,,
Dexamethasone 20mg/5ml oral solution sugar free 50,£42.00,£42.00,£42.00,£42.00,£42.00,£42.00
Dexamethasone 2mg soluble tablets sugar free 50,£29.91,£29.81,£30.01,£30.01,£30.01,£30.01
Dexamethasone 2mg tablets 50,£3.27,£5.01,£4.80,£4.80,£4.88,£4.88
Dexamethasone 2mg/5ml oral solution sugar free 150,£42.30,£42.30,£42.30,£42.30,£42.30,£42.30
Dexamethasone 4mg soluble tablets sugar free 50,£60.01,£60.01,£60.01,£60.01,£60.01,£60.01
Dexamethasone 4mg tablets 50,£115.51,£115.46,£115.56,£115.35,£115.77,£114.93
Dexamethasone 500microgram tablets 28,£3.47,£3.55,£3.41,£3.41,£3.94,£3.94
Dexamethasone 8mg soluble tablets sugar free 50,£119.03,£118.05,£120.01,£120.01,£120.01,£120.01
Dexamfetamine 10mg tablets 30,£39.78,£39.78,£39.78,£39.78,£39.78,£39.78
Dexamfetamine 20mg tablets 30,£79.56,£79.56,£79.56,£79.56,£79.56,£79.56
Dexamfetamine 5mg tablets 28,£24.73,£24.73,£24.73,£24.73,£24.73,£24.73
Dexamfetamine 5mg/5ml oral solution sugar free 150,£155.00,£155.00,£155.00,£155.00,£114.49,£114.49
Dexketoprofen 25mg tablets 50,£9.18,£9.18,£9.18,£9.18,£9.18,£9.18
Dexpanthenol 5% ointment 100,£5.74,£5.74,£5.74,£5.30,£5.30,£5.30
Dextromethorphan 7.5mg/5ml oral solution sugar free 100,£2.29,£2.29,£2.29,£2.29,£2.29,£2.29
Dextromethorphan 7.5mg/5ml oral solution sugar free 250,£4.77,£2.29,£2.29,£2.29,£2.29,£2.29
Diamorphine 100mg powder for solution for injection ampoules 5,£42.40,£42.40,£42.40,£42.40,£42.40,£42.40
Diamorphine 10mg tablets 100,£37.13,£37.13,£37.13,£37.13,£37.13,£37.13
Diamorphine 30mg powder for solution for injection ampoules 5,£16.53,£16.53,£16.53,£16.53,£16.53,£16.53
Diamorphine 500mg powder for solution for injection ampoules 5,£187.71,£187.71,£187.71,£187.71,£187.71,£187.71
Diamorphine 5mg powder for solution for injection ampoules 5,£12.81,£12.81,£12.81,£12.81,£12.81,£12.81
Diazepam 10mg tablets 28,£0.91,£0.90,£0.88,£0.88,£0.84,£0.84
Diazepam 10mg/2.5ml rectal solution tube 5,£8.78,£8.78,£8.78,£8.78,£8.78,£8.78
Diazepam 10mg/2ml solution for injection ampoules 10,£6.50,£6.50,£6.50,£6.50,£6.50,£6.50
Diazepam 2.5mg/1.25ml rectal solution tube 5,£5.65,£5.65,£5.65,£5.65,£5.65,£5.65
Diazepam 2mg tablets 28,£0.78,£0.77,£0.75,£0.75,£0.73,£0.73
Diazepam 2mg/5ml oral solution sugar free 100,£64.98,£63.86,£67.60,£66.37,£66.64,£65.34
Diazepam 5mg tablets 28,£0.83,£0.81,£0.79,£0.79,£0.77,£0.77
Diazepam 5mg/2.5ml rectal solution tube 5,£5.85,£5.85,£5.85,£5.85,£5.85,£5.85
Diazoxide 50mg tablets 100,£72.55,£72.55,£72.55,£72.55,£72.55,£72.55
Dibrompropamidine 0.15% cream 25,£2.13,£2.13,£2.13,£2.13,£2.13,£2.13
Dibrompropamidine 0.15% eye ointment 5,£4.44,£4.44,£4.44,£4.44,£4.44,£4.15
Dichlorobenzyl alcohol 1.2mg / Amylmetacresol 600microgram lozenges 24,£2.90,£2.90,£2.90,£2.90,£2.58,£2.58
Diclofenac 0.074% mouthwash sugar free 200,£12.95,£12.95,£12.95,£12.95,£12.95,£12.95
Diclofenac 0.1% eye drops 5,£6.68,£6.68,£6.68,£6.68,£6.68,£6.68
Diclofenac 0.1% eye drops 0.3ml unit dose preservative free 5,£4.00,£4.00,£4.00,£4.00,£4.00,£4.00
Diclofenac 0.1% eye drops 0.3ml unit dose preservative free 40,£32.00,£4.00,£4.00,£4.00,£4.00,£4.00
Diclofenac 100mg suppositories 10,£3.64,£3.64,£3.64,£3.64,£3.64,£3.64
Diclofenac 12.5mg suppositories 10,£0.70,£0.70,£0.70,£0.70,£0.70,£0.70
Diclofenac 140mg medicated plasters 2,£5.99,£5.99,£5.99,£5.99,£5.99,£5.99
Diclofenac 25mg suppositories 10,£1.24,£1.24,£1.24,£1.24,£1.24,£1.24
Diclofenac 50mg suppositories 10,£2.04,£2.04,£2.04,£2.04,£2.04,£2.04
Diclofenac 75mg/1ml solution for injection ampoules 5,£24.00,£24.00,£24.00,£24.00,£24.00,£24.00
Diclofenac 75mg/3ml solution for injection ampoules 10,£9.91,£9.91,£9.91,£9.91,£9.91,£9.91
Diclofenac diethylammonium 1.16% gel 100,£4.63,£4.63,£4.63,£4.63,£4.63,£4.63
Diclofenac diethylammonium 2.32% gel 30,£4.61,£4.61,£4.61,£4.61,£4.61,£4.61
Diclofenac diethylammonium 2.32% gel 50,£6.59,£4.61,£4.61,£4.61,£4.61,£4.61
Diclofenac diethylammonium 2.32% gel 100,£11.21,£4.61,£4.61,£4.61,£4.61,£4.61
Diclofenac potassium 25mg tablets 28,£3.86,£3.86,£3.86,£3.86,£3.86,£3.86
Diclofenac potassium 50mg tablets 28,£7.41,£7.41,£7.41,£7.41,£7.41,£7.41
Diclofenac sodium 1% gel 100,£4.60,£4.60,£4.56,£4.56,£4.48,£4.48
Diclofenac sodium 100mg modified-release capsules 28,£8.20,£8.20,£8.20,£8.20,£8.20,£8.20
Diclofenac sodium 100mg modified-release tablets 28,£11.33,£11.33,£11.33,£11.33,£11.33,£11.33
Diclofenac sodium 25mg gastro-resistant tablets 28,£4.13,£1.02,£0.99,£0.99,£1.01,£1.01
Diclofenac sodium 3% gel 50,£38.30,£38.30,£38.30,£38.30,£38.30,£38.30
Diclofenac sodium 50mg gastro-resistant / Misoprostol 200microgram tablets 60,£11.98,£11.98,£11.98,£11.98,£11.98,£11.98
Diclofenac sodium 50mg gastro-resistant tablets 28,£1.04,£1.03,£1.00,£1.00,£0.97,£0.97
Diclofenac sodium 75mg gastro-resistant / Misoprostol 200microgram tablets 60,£15.83,£15.83,£15.83,£15.83,£15.83,£15.83
Diclofenac sodium 75mg gastro-resistant modified-release capsules 56,£8.00,£8.00,£8.00,£8.00,£8.00,£8.00
Diclofenac sodium 75mg modified-release capsules 56,£11.40,£11.40,£11.40,£11.40,£11.40,£11.40
Diclofenac sodium 75mg modified-release tablets 56,£17.56,£17.56,£17.56,£17.56,£17.56,£17.56
Dicycloverine 10mg tablets 100,£212.31,£212.32,£212.33,£212.34,£212.36,£212.38
Dicycloverine 10mg/5ml oral solution 120,£174.13,£174.13,£174.13,£174.13,£174.13,£174.13
Dicycloverine 20mg tablets 84,£226.63,£226.64,£226.65,£226.66,£226.67,£226.69
Dienogest 2mg tablets 28,£20.68,£20.68,£20.68,£20.68,£20.68,£20.68
Diethylamine salicylate 10% cream 50,£1.49,£1.49,£1.49,£1.49,£1.49,£1.49
Diethylstilbestrol 1mg tablets 28,£125.79,£128.16,£128.81,£134.07,£130.45,£131.98
Digoxin 125microgram tablets 28,£1.56,£1.48,£1.43,£1.43,£1.22,£1.22
Digoxin 250microgram tablets 28,£1.57,£1.51,£1.46,£1.46,£1.25,£1.25
Digoxin 50micrograms/ml oral solution 60,£5.35,£5.35,£5.35,£5.35,£5.35,£5.35
Digoxin 62.5microgram tablets 28,£1.54,£1.52,£1.47,£1.47,£1.22,£1.22
Dihydrocodeine 120mg modified-release tablets 56,£10.95,£10.95,£10.95,£10.95,£10.95,£10.95
Dihydrocodeine 30mg tablets 28,£2.06,£1.65,£1.59,£1.59,£1.42,£1.42
Dihydrocodeine 30mg tablets 100,£7.36,£1.65,£1.59,£1.59,£1.42,£1.42
Dihydrocodeine 60mg modified-release tablets 56,£5.20,£5.20,£5.20,£5.20,£5.20,£5.20
Dihydrocodeine 90mg modified-release tablets 56,£8.66,£8.66,£8.66,£8.66,£8.66,£8.66
Diltiazem 120mg modified-release capsules 28,£9.14,£9.14,£9.14,£9.14,£9.14,£9.14
Diltiazem 120mg modified-release capsules 56,£9.45,£9.14,£9.14,£9.14,£9.14,£9.14
Diltiazem 120mg modified-release tablets 56,£7.15,£7.15,£7.15,£7.15,£7.15,£7.15
Diltiazem 180mg modified-release capsules 28,£10.37,£10.37,£10.37,£10.37,£10.37,£10.37
Diltiazem 180mg modified-release capsules 56,£14.15,£10.37,£10.37,£10.37,£10.37,£10.37
Diltiazem 200mg modified-release capsules 28,£6.29,£6.29,£6.29,£6.29,£6.29,£6.29
Diltiazem 240mg modified-release capsules 28,£11.52,£11.52,£11.52,£11.52,£11.52,£11.52
Diltiazem 300mg modified-release capsules 28,£9.01,£9.01,£9.01,£9.01,£9.01,£9.01
Diltiazem 360mg modified-release capsules 28,£13.85,£13.85,£13.85,£13.85,£13.85,£13.85
Diltiazem 60mg modified-release tablets 84,£8.26,£8.25,£7.90,£7.90,£8.06,£8.06
Diltiazem 90mg modified-release capsules 56,£8.50,£8.50,£8.50,£8.50,£8.50,£8.50
Diltiazem 90mg modified-release tablets 56,£7.27,£7.27,£7.27,£7.27,£7.27,£7.27
Dimethyl fumarate 120mg gastro-resistant tablets 90,£190.80,£190.80,£190.80,£190.80,£190.80,£190.80
Dimethyl fumarate 120mg gastro-resistant tablets 180,£381.60,£190.80,£190.80,£190.80,£190.80,£190.80
Dimethyl fumarate 30mg gastro-resistant tablets 42,£89.04,£89.04,£89.04,£89.04,£89.04,£89.04
Dimeticone 10% / Cetrimide 0.3% cream 50,£4.65,£4.65,£4.65,£4.65,£4.65,£4.65
Dimeticone 4% cutaneous spray 120,£7.85,£7.85,£7.85,£7.85,£7.85,£7.85
Dimeticone 4% lotion 50,£3.28,£3.28,£3.28,£3.28,£3.28,£3.28
Dimeticone 4% lotion 150,£7.62,£3.28,£3.28,£3.28,£3.28,£3.28
Diphenhydramine 10mg/5ml oral solution 150,£26.00,£26.00,£26.00,£26.00,£26.00,£26.00
Diphenhydramine 25mg tablets 20,£3.42,£3.42,£3.42,£3.42,£3.42,£3.42
Diphenhydramine 50mg tablets 20,£4.72,£4.72,£4.72,£4.72,£4.72,£4.72
Diphtheria (low dose) / Tetanus / Pertussis (acellular component) / Poliomyelitis (inactivated) vaccine (adsorbed) suspension for injection 0.5ml pre-filled syringes 1,£20.00,£20.00,£20.00,£20.00,£20.00,£20.00
Diphtheria / Tetanus / Poliomyelitis (inactivated) vaccine (adsorbed) suspension for injection 0.5ml pre-filled syringes 1,£7.80,£7.80,£7.80,£7.80,£7.80,£7.80
Dipipanone 10mg / Cyclizine 30mg tablets 50,£440.65,£440.65,£440.65,£440.65,£440.65,£440.65
Dipyridamole 100mg tablets 84,£34.61,£28.23,£27.01,£27.01,£20.07,£20.07
Dipyridamole 200mg modified-release capsules 60,£13.15,£13.15,£13.15,£13.15,£13.15,£13.15
Dipyridamole 200mg/5ml oral suspension sugar free 150,£133.53,£133.53,£133.53,£133.53,£133.53,£133.53
Dipyridamole 25mg tablets 84,£10.13,£10.23,£10.39,£10.84,£10.81,£10.66
Dipyridamole 50mg/5ml oral suspension sugar free 150,£105.38,£82.07,£84.03,£69.42,£67.06,£61.04
Disopyramide 100mg capsules 84,£25.69,£26.11,£26.95,£28.63,£31.98,£31.85
Disopyramide 150mg capsules 84,£39.53,£39.54,£39.51,£39.56,£39.45,£39.66
Disopyramide 250mg modified-release tablets 60,£32.08,£32.08,£32.08,£32.08,£32.08,£32.08
Disulfiram 200mg tablets 50,£180.36,£170.08,£188.69,£184.59,£170.57,£176.13
Dithranol 0.1% cream 50,£3.77,£3.77,£3.77,£3.77,£3.77,£3.77
Docusate 100mg capsules 30,£2.09,£2.09,£2.09,£2.09,£2.09,£2.09
Docusate 100mg/5ml oral solution sugar free 300,£29.77,,,,,
Docusate 12.5mg/5ml oral solution sugar free 300,£23.14,£21.02,£24.69,£21.24,£21.24,£21.20
Docusate 120mg/10g enema 6,£28.00,£28.00,£28.00,£28.00,£28.00,£28.00
Docusate 50mg/5ml oral solution sugar free 300,£17.15,£17.62,£16.86,£16.86,£21.63,£21.63
Docusate sodium 0.5% ear drops 10,£1.95,£1.95,£1.95,£1.95,£1.95,£1.95
Dolutegravir 10mg tablets 30,£99.75,£99.75,£99.75,£99.75,£99.75,£99.75
Dolutegravir 25mg tablets 30,£249.38,£249.38,£249.38,£249.38,£249.38,£249.38
Dolutegravir 50mg tablets 30,£498.75,£498.75,£498.75,£498.75,£498.75,£498.75
Domperidone 10mg tablets 30,£0.72,£0.68,£0.66,£0.66,£0.67,£0.67
Domperidone 10mg tablets 100,£2.40,£0.68,£0.66,£0.66,£0.67,£0.67
Domperidone 1mg/ml oral suspension sugar free 200,£37.45,£24.85,£24.85,£24.85,£24.85,£24.85
Donepezil 10mg orodispersible tablets sugar free 28,£77.34,£72.01,£73.15,£59.05,£59.05,£59.05
Donepezil 10mg tablets 28,£1.14,£1.21,£1.17,£1.17,£1.16,£1.16
Donepezil 1mg/ml oral solution sugar free 150,£97.00,£97.00,£97.00,£97.00,£81.23,£81.23
Donepezil 5mg orodispersible tablets sugar free 28,£23.23,£21.63,£21.99,£17.79,£17.84,£17.73
Donepezil 5mg tablets 28,£0.95,£0.92,£0.89,£0.89,£0.99,£0.99
Dornase alfa 2.5mg/2.5ml nebuliser liquid ampoules 30,£496.43,£496.43,£496.43,£496.43,£496.43,£496.43
Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops 5,£1.84,£1.73,£1.66,£1.66,£1.62,£1.62
Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops 0.2ml unit dose preservative free 60,£24.13,£29.50,£28.23,£28.23,£28.12,£28.12
Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops preservative free 5,£8.13,£8.13,£8.13,£8.13,£8.14,£8.14
Dorzolamide 20mg/ml eye drops 5,£4.98,£3.38,£3.25,£3.25,£1.77,£1.77
Dorzolamide 20mg/ml eye drops 0.2ml unit dose preservative free 60,£24.18,£24.18,£24.18,£24.18,£24.18,£24.18
Dorzolamide 20mg/ml eye drops preservative free 5,£7.08,£7.08,£7.08,£7.08,£7.09,£7.09
Dosulepin 25mg capsules 28,£1.67,£1.21,£1.17,£1.17,£1.03,£1.03
Dosulepin 75mg tablets 28,£10.19,£11.50,£11.01,£11.01,£10.57,£10.57
Doxazosin 1mg tablets 28,£0.78,£0.76,£0.74,£0.74,£0.75,£0.75
Doxazosin 2mg tablets 28,£0.80,£0.79,£0.76,£0.76,£0.77,£0.77
Doxazosin 4mg modified-release tablets 28,£5.00,£5.00,£5.00,£5.00,£5.00,£5.00
Doxazosin 4mg tablets 28,£0.91,£0.91,£0.89,£0.89,£0.91,£0.91
Doxazosin 8mg modified-release tablets 28,£9.98,£9.98,£9.98,£9.98,£9.98,£9.98
Doxazosin 8mg tablets 28,£6.26,£6.10,£6.26,£6.26,£6.26,£6.26
Doxepin 10mg capsules 28,£81.50,£81.50,£81.50,£81.50,£81.50,
Doxepin 25mg capsules 28,£97.00,£97.00,£97.00,£97.00,£97.00,£97.00
Doxepin 5% cream 30,£13.66,£13.66,£13.66,£13.66,£13.66,£13.66
Doxepin 50mg capsules 28,£154.00,£154.00,£154.00,£154.00,£154.00,£154.00
Doxycycline 100mg capsules 8,£1.05,£0.78,£0.75,£0.75,£0.93,£0.93
Doxycycline 100mg dispersible tablets sugar free 8,£4.91,£4.91,£4.91,£4.91,£4.91,£4.91
Doxycycline 20mg tablets 56,£17.30,£17.30,£17.30,£17.30,£17.30,£17.30
Doxycycline 40mg modified-release capsules 14,£7.99,£7.99,£7.99,£7.99,£7.99,£7.99
Doxycycline 50mg capsules 28,£1.44,£1.47,£1.42,£1.42,£1.29,£1.29
Doxylamine 10mg / Pyridoxine 10mg gastro-resistant tablets 20,£28.50,£28.50,£28.50,£28.50,£28.50,£28.50
Dronabinol 2.7mg/dose / Cannabidiol 2.5mg/dose oromucosal spray 270,£300.00,£300.00,£300.00,£300.00,£300.00,£300.00
Dronedarone 400mg tablets 20,£22.50,£22.50,£22.50,£22.50,£22.50,£22.50
Dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices 4,£73.25,£73.25,£73.25,£73.25,£73.25,£73.25
Dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices 4,£73.25,£73.25,£73.25,£73.25,£73.25,£73.25
Dulaglutide 3mg/0.5ml solution for injection pre-filled disposable devices 4,£73.25,£73.25,£73.25,£73.25,£73.25,£73.25
Dulaglutide 4.5mg/0.5ml solution for injection pre-filled disposable devices 4,£73.25,£73.25,£73.25,£73.25,£73.25,£73.25
Duloxetine 120mg gastro-resistant capsules 28,£17.63,£17.38,£17.87,£17.84,£17.90,£17.78
Duloxetine 20mg gastro-resistant capsules 28,£2.27,£2.56,£2.47,£2.47,£3.13,£3.13
Duloxetine 30mg gastro-resistant capsules 28,£2.02,£1.40,£1.35,£1.35,£1.41,£1.41
Duloxetine 40mg gastro-resistant capsules 56,£3.74,£4.44,£4.26,£4.26,£5.05,£5.05
Duloxetine 60mg gastro-resistant capsules 28,£3.14,£2.18,£2.10,£2.10,£2.23,£2.23
Duloxetine 90mg gastro-resistant capsules 28,£13.89,£13.64,£14.07,£14.08,£14.05,£14.11
Dutasteride 500microgram capsules 30,£2.52,£2.65,£2.55,£2.55,£2.14,£2.14
Econazole 1% cream 30,£3.78,£3.78,£3.78,£3.78,£3.78,£3.78
Econazole 150mg pessaries 3,£4.17,£4.17,£4.17,£4.17,£4.17,£4.17
Edoxaban 15mg tablets 10,£17.50,£17.50,£17.50,£17.50,£17.50,£17.50
Edoxaban 30mg tablets 28,£49.00,£49.00,£49.00,£49.00,£49.00,£49.00
Edoxaban 60mg tablets 28,£49.00,£49.00,£49.00,£49.00,£49.00,£49.00
Eflornithine 11.5% cream 60,£56.87,£56.87,£56.87,£56.87,£56.87,£56.87
Eicosapentaenoic acid 460mg / Docosahexaenoic acid 380mg capsules 28,£14.24,£14.24,£14.24,£14.24,£14.24,£14.24
Eletriptan 20mg tablets 6,£22.50,£22.50,£22.50,£22.50,£22.50,£22.50
Eletriptan 40mg tablets 6,£22.50,£22.50,£22.50,£22.50,£22.50,£22.50
Eltrombopag 25mg tablets 28,£770.00,£770.00,£770.00,£770.00,£770.00,£770.00
Eltrombopag 50mg tablets 28,"£1,540.00","£1,540.00","£1,540.00","£1,540.00","£1,540.00","£1,540.00"
Eltrombopag 75mg tablets 28,"£2,310.00","£2,310.00","£2,310.00","£2,310.00","£2,310.00","£2,310.00"
Empagliflozin 10mg / Linagliptin 5mg tablets 28,£55.88,£55.88,£55.88,£55.88,£55.88,£55.88
Empagliflozin 10mg tablets 28,£36.59,£36.59,£36.59,£36.59,£36.59,£36.59
Empagliflozin 12.5mg / Metformin 1g tablets 56,£36.59,£36.59,£36.59,£36.59,£36.59,£36.59
Empagliflozin 12.5mg / Metformin 850mg tablets 56,£36.59,£36.59,£36.59,£36.59,£36.59,£36.59
Empagliflozin 25mg / Linagliptin 5mg tablets 28,£55.88,£55.88,£55.88,£55.88,£55.88,£55.88
Empagliflozin 25mg tablets 28,£36.59,£36.59,£36.59,£36.59,£36.59,£36.59
Empagliflozin 5mg / Metformin 1g tablets 56,£36.59,£36.59,£36.59,£36.59,£36.59,£36.59
Empagliflozin 5mg / Metformin 850mg tablets 56,£36.59,£36.59,£36.59,£36.59,£36.59,£36.59
Emtricitabine 200mg / Tenofovir 245mg tablets 30,£355.73,£355.73,£355.73,£355.73,£355.73,£355.73
Emtricitabine 200mg / Tenofovir alafenamide 10mg tablets 30,£355.73,£355.73,£355.73,£355.73,£355.73,£355.73
Emtricitabine 200mg / Tenofovir alafenamide 25mg tablets 30,£355.73,£355.73,£355.73,£355.73,£355.73,£355.73
Enalapril 10mg tablets 28,£1.29,£2.07,£1.99,£1.99,£2.38,£2.38
Enalapril 2.5mg tablets 28,£6.78,£7.97,£7.64,£7.64,£7.36,£7.36
Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets 28,£19.99,£19.99,£19.99,£19.99,£19.99,£19.99
Enalapril 20mg tablets 28,£1.40,£2.02,£1.94,£1.94,£3.03,£3.03
Enalapril 5mg tablets 28,£1.16,£2.16,£2.08,£2.08,£2.64,£2.64
Enoxaparin sodium 100mg/1ml solution for injection pre-filled syringes 10,£72.30,£72.30,£72.30,£72.30,£72.30,£72.30
Enoxaparin sodium 120mg/0.8ml solution for injection pre-filled syringes 10,£87.93,£87.93,£87.93,£87.93,£87.93,£87.93
Enoxaparin sodium 150mg/1ml solution for injection pre-filled syringes 10,£99.91,£99.91,£99.91,£99.91,£99.91,£99.91
Enoxaparin sodium 20mg/0.2ml solution for injection pre-filled syringes 10,£20.86,£20.86,£20.86,£20.86,£20.86,£20.86
Enoxaparin sodium 300mg/3ml solution for injection vials 1,£21.33,£21.33,£21.33,£21.33,£21.33,£21.33
Enoxaparin sodium 40mg/0.4ml solution for injection pre-filled syringes 10,£30.27,£30.27,£30.27,£30.27,£30.27,£30.27
Enoxaparin sodium 60mg/0.6ml solution for injection pre-filled syringes 10,£39.26,£39.26,£39.26,£39.26,£39.26,£39.26
Enoxaparin sodium 80mg/0.8ml solution for injection pre-filled syringes 10,£55.13,£55.13,£55.13,£55.13,£55.13,£55.13
Entacapone 200mg tablets 30,£5.04,£3.20,£3.07,£3.07,£3.13,£3.13
Entecavir 1mg tablets 30,£363.26,£363.26,£363.26,£363.26,£363.26,£363.26
Entecavir 500microgram tablets 30,£363.26,£363.26,£363.26,£363.26,£363.26,£363.26
Entecavir 50micrograms/ml oral solution sugar free 210,£423.80,£423.80,£423.80,£423.80,£423.80,£423.80
Enzalutamide 40mg tablets 112,"£2,734.67","£2,734.67","£2,734.67","£2,734.67","£2,734.67","£2,734.67"
Ephedrine 30mg/10ml solution for injection pre-filled syringes 1,£9.50,£9.50,£9.50,£9.50,£9.50,£9.50
Ephedrine 30mg/1ml solution for injection ampoules 10,£172.76,£164.24,£173.10,£154.89,£147.89,£129.48
Ephedrine hydrochloride 15mg / Chlorphenamine 10mg tablets 10,£16.51,£11.00,£11.00,£11.00,£11.00,£11.00
Ephedrine hydrochloride 15mg tablets 28,£120.90,£120.69,£121.10,£120.27,£121.93,£118.61
Ephedrine hydrochloride 30mg tablets 28,£177.91,£177.83,£177.99,£177.66,£178.31,£177.01
Epinastine 500micrograms/ml eye drops 5,£9.90,£9.90,£9.90,£9.90,£9.90,£9.90
Eplerenone 25mg tablets 28,£3.62,£4.24,£4.07,£4.07,£4.95,£4.95
Eplerenone 50mg tablets 28,£5.08,£5.93,£5.68,£5.68,£5.98,£5.98
"Epoetin alfa 1,000units/0.5ml solution for injection pre-filled syringes 6",£33.18,£33.18,£33.18,£33.18,£33.18,£33.18
"Epoetin alfa 10,000units/1ml solution for injection pre-filled syringes 6",£331.85,£331.85,£331.85,£331.85,£331.85,£331.85
"Epoetin alfa 2,000units/0.5ml solution for injection pre-filled syringes 6",£66.37,£66.37,£66.37,£66.37,£66.37,£66.37
"Epoetin alfa 20,000units/0.5ml solution for injection pre-filled syringes 1",£110.62,£110.62,£110.62,£110.62,£110.62,£110.62
